# O oráculo de paridade, congelado (ALE-379).
#
# Uma linha por fixture: `<arquivo> <sha256>`. Levantar esta base é ato
# deliberado — o `convention.TestNoOracleFixtureChangesWithoutRaisingTheBaseline`
# diz no vermelho o que fazer, e o commit que a levanta diz contra o que o diff
# foi conferido.
_catalogs.json 11a8f4ba3c0924a33e889768a219e5ddbb9c61a182c95561f0ddc3a2b7158cf8
_fixtures.json 8dd666435cc37359f3a6dfeeb756fd1cb68469a616f009a25fb1ecee13770d89
aprendiz-nv1-simples.json fe94f44b75c5ecdcac7e7a7f5c08c2723a8e7388259664c701c395cac0ed23ad
arcanista-cego-esmorecido-nv9.json 86c35b7dd002f5975fee1d528811de23fb2fea38cd4f37de971d772bb5af8ef9
arcanista-erudito-nv9.json e4ebfe30507e15dfb30444884f1e2745547270fa5084a862b72b133df76f2f30
bardo-versatil-nv7.json 906f0a02947fdf7a7430fb02f1ec7a56f2a34f80cc1de866571395bd1c853255
batedor-nv2-simples.json b07c34813d902a413a46eed1bca8614a7ac7d0d77b87f468b261b5cc77196b56
curandeira-divina-nv8.json 881f7f25537f0ca43035c4ed9ceec6575e39790258c7b14e673babf976661cc8
druida-natureza-nv9.json 48825c80c55330165bbc3dbe85edb54b552fb7ab78ecb4a781dcc2756973dd12
guerreiro-veterano-nv8.json e072d080b2ceb056a6b69128b44a00bca479c393c6c5f666025324e97c493970
inventor-genial-nv6.json deb88e04af36763fa9f8f0431d25b31d3231e4d09c82ee78704820afe9c058cc
kharvos-o-guardiao-rubro.json 7d57ae07c83cdfb108dde5634afeb291f9562b3a3135a43888caf9377cb94d44
lenda-nv20-maximo.json c5484b6d3b64bb43f1aa8e0daa593187f37591eb200395d4e9ff84edd1130f61
multiclasse-guer-arc-nv8.json 2ac92df78d08e47edd0228fb8920d86aba43a336fb3503f4c49953d48453ec4f
necromante-nv12-magias.json d203c0b5eaab2e7e8ef62b5d9466a8de65e3af12a5ee068f37eda10280b37f78
paladino-sagrado-nv10.json 6a7decacbff5396459bf0cf5d279b42c39fabf025989b4e3e9f32e46ac0fd6ce
paladino-sagrado-nv11.json 9074bde7041b8fe0a0ba8fbe0770a75e3093e9706eda449cf588f7d48653c653
recruta-nv1-simples.json ef7ea67df227376144e94f62ec7aa32b6aebbfcf6074c4fb41091e2525494484
tanque-exausto-atordoado-nv10.json cff44bd0afc3c15f61228b8a4c49fd0124dd9d2be03e906bd9b91d5059db25a1
tanque-placas-nv10.json 5699a66d55a4baca3c26c0494c07d8c2b7882e97ed83da5c3f14efad9340f190
